timestamp,cpu_usage,memory_usage,process_name,pid,process_cpu,process_memory,process_priority
1745161460,0.6,53.0,Code.exe,2148,1.0,1.611469290640075,32
1745161460,0.6,53.0,ChatGPT.exe,4248,1.2,0.9471563060638029,32
1745161460,0.6,53.0,Code.exe,4668,1.7,0.6324129981682297,32
1745161460,0.6,53.0,python.exe,15324,5.0,0.3964885346273264,32
1745161466,1.5,53.0,ChatGPT.exe,4248,1.5,0.9469870112155419,32
1745161466,1.5,53.0,Code.exe,14608,1.0,1.0739823323896356,32768
1745161466,1.5,53.0,python.exe,15324,4.2,0.3975768586518616,32
1745161472,0.6,53.0,ChatGPT.exe,4248,2.7,0.9471563060638029,32
1745161472,0.6,53.0,python.exe,15324,4.5,0.39760104363018456,32
1745161479,1.4,53.0,ChatGPT.exe,4248,2.0,0.9471563060638029,32
1745161479,1.4,53.0,chrome.exe,10588,1.2,1.563728143430465,32
1745161479,1.4,53.0,python.exe,15324,4.2,0.39762522860850763,32
1745161479,1.4,53.0,chrome.exe,19996,1.5,0.4194158940775341,32
1745161485,1.1,53.0,ChatGPT.exe,2064,1.0,1.8960055606102162,32
1745161485,1.1,53.0,ChatGPT.exe,4248,1.7,0.9468660863239269,32
1745161485,1.1,53.0,chrome.exe,10588,1.5,1.5660257163711504,32
1745161485,1.1,53.0,python.exe,15324,4.0,0.3978670783917376,32
1745161491,21.7,54.6,Code.exe,2148,1.7,1.625424023132448,32
1745161491,21.7,54.6,ChatGPT.exe,4248,3.2,0.9466726064973428,32
1745161491,21.7,54.6,Code.exe,4668,1.0,0.6425706890638914,32
1745161491,21.7,54.6,chrome.exe,8304,3.2,0.4872547582735602,32
1745161491,21.7,54.6,chrome.exe,10588,8.4,1.5981433675840997,32
1745161491,21.7,54.6,chrome.exe,12392,6.0,2.3413477514500105,32768
1745161491,21.7,54.6,chrome.exe,14028,1.5,1.3208384061325364,64
1745161491,21.7,54.6,Code.exe,14608,1.2,1.1482544008195805,32768
1745161491,21.7,54.6,python.exe,15324,4.7,0.3978670783917376,32
1745161491,21.7,54.6,chrome.exe,19996,3.0,0.4259700232030682,32
1745161491,21.7,54.6,explorer.exe,23228,3.5,2.1933840540698726,32
1745161497,15.4,54.9,ChatGPT.exe,2064,1.2,1.896053930566862,32
1745161497,15.4,54.9,ChatGPT.exe,4248,2.9,0.9473981558470328,32
1745161497,15.4,54.9,chrome.exe,10588,16.3,1.650068516043589,32
1745161497,15.4,54.9,chrome.exe,12392,10.5,2.337671634744914,32768
